T,L,LL,R,E,D,DLI,Year,Month,Day,Hour,Minute,Second,Day365,Hour24,Sunrise,Sunset
1514562881,0.978558,0,0,0.08,126,0.00041615,2017,11,29,15,54,41,363,15,1514532761,1514565662
1514562882,0.986857,0,0,0.08,126,0.000417137,2017,11,29,15,54,42,363,15,1514532761,1514565662
1514562883,1.028691,0,0,0.08,126,0.000418166,2017,11,29,15,54,43,363,15,1514532761,1514565662
1514562884,1.016937,0,0,0.09,126,0.000419183,2017,11,29,15,54,44,363,15,1514532761,1514565662
1514562885,1.026894,0,0,0.08,126,0.00042021,2017,11,29,15,54,45,363,15,1514532761,1514565662
1514562886,1.013024,0,0,0.08,126,0.000421223,2017,11,29,15,54,46,363,15,1514532761,1514565662
1514562887,1.0160420000000001,0,0,0.09,126,0.00042223900000000003,2017,11,29,15,54,47,363,15,1514532761,1514565662
1514562888,1.012183,0,0,0.09,126,0.00042325100000000003,2017,11,29,15,54,48,363,15,1514532761,1514565662
1514562889,0.984353,0,0,0.08,126,0.000424235,2017,11,29,15,54,49,363,15,1514532761,1514565662
1514562890,0.9619850000000001,0,0,0.08,126,0.00042519700000000004,2017,11,29,15,54,50,363,15,1514532761,1514565662
1514562891,0.971244,0,0,0.08,126,0.00042616899999999995,2017,11,29,15,54,51,363,15,1514532761,1514565662
1514562892,0.979634,0,0,0.08,126,0.00042714799999999997,2017,11,29,15,54,52,363,15,1514532761,1514565662
1514562893,1.013017,0,0,0.08,126,0.000428161,2017,11,29,15,54,53,363,15,1514532761,1514565662
1514562894,0.993358,0,0,0.09,126,0.000429155,2017,11,29,15,54,54,363,15,1514532761,1514565662
1514562895,0.9645530000000001,0,0,0.07,126,0.00043011899999999997,2017,11,29,15,54,55,363,15,1514532761,1514565662
1514562896,0.97562,0,0,0.08,126,0.000431095,2017,11,29,15,54,56,363,15,1514532761,1514565662
1514562897,0.9737549999999999,0,0,0.08,126,0.000432069,2017,11,29,15,54,57,363,15,1514532761,1514565662
1514562898,0.9868100000000001,0,0,0.08,126,0.000433055,2017,11,29,15,54,58,363,15,1514532761,1514565662
1514562899,0.980469,0,0,0.08,126,0.00043403599999999995,2017,11,29,15,54,59,363,15,1514532761,1514565662
1514562900,0.982334,0,0,0.08,126,0.000435018,2017,11,29,15,55,00,363,15,1514532761,1514565662
1514562901,1.023142,0,0,0.09,126,0.00043604099999999997,2017,11,29,15,55,01,363,15,1514532761,1514565662
1514562902,1.007938,0,0,0.08,126,0.00043704899999999996,2017,11,29,15,55,02,363,15,1514532761,1514565662
1514562903,0.981806,0,0,0.08,126,0.000438031,2017,11,29,15,55,03,363,15,1514532761,1514565662
1514562904,0.991641,0,0,0.08,126,0.000439023,2017,11,29,15,55,04,363,15,1514532761,1514565662
1514562905,0.997542,0,0,0.08,126,0.00044002,2017,11,29,15,55,05,363,15,1514532761,1514565662
1514562906,0.9500540000000001,0,0,0.09,126,0.00044097,2017,11,29,15,55,06,363,15,1514532761,1514565662
1514562907,0.944241,0,0,0.09,126,0.00044191499999999997,2017,11,29,15,55,07,363,15,1514532761,1514565662
1514562908,0.9605969999999999,0,0,0.08,126,0.000442875,2017,11,29,15,55,08,363,15,1514532761,1514565662
1514562909,0.970411,0,0,0.08,126,0.000443846,2017,11,29,15,55,09,363,15,1514532761,1514565662
1514562910,0.976299,0,0,0.08,126,0.00044482200000000005,2017,11,29,15,55,10,363,15,1514532761,1514565662
1514562911,0.957153,0,0,0.08,126,0.000445779,2017,11,29,15,55,11,363,15,1514532761,1514565662
1514562912,0.988189,0,0,0.08,126,0.000446767,2017,11,29,15,55,12,363,15,1514532761,1514565662
1514562913,0.9954709999999999,0,0,0.08,126,0.000447763,2017,11,29,15,55,13,363,15,1514532761,1514565662
1514562914,0.99984,0,0,0.08,126,0.000448763,2017,11,29,15,55,14,363,15,1514532761,1514565662
1514562915,0.9485979999999999,0,0,0.08,126,0.000449711,2017,11,29,15,55,15,363,15,1514532761,1514565662
1514562916,0.9518719999999999,0,0,0.09,126,0.000450663,2017,11,29,15,55,16,363,15,1514532761,1514565662
1514562917,0.948166,0,0,0.09,126,0.000451611,2017,11,29,15,55,17,363,15,1514532761,1514565662
1514562918,0.960118,0,0,0.09,126,0.00045257100000000003,2017,11,29,15,55,18,363,15,1514532761,1514565662
1514562919,0.9474440000000001,0,0,0.08,126,0.00045351899999999994,2017,11,29,15,55,19,363,15,1514532761,1514565662
1514562920,0.971024,0,0,0.08,126,0.00045448999999999994,2017,11,29,15,55,20,363,15,1514532761,1514565662
1514562921,0.976667,0,0,0.08,126,0.00045546599999999997,2017,11,29,15,55,21,363,15,1514532761,1514565662
1514562922,0.971548,0,0,0.07,126,0.00045643800000000004,2017,11,29,15,55,22,363,15,1514532761,1514565662
1514562923,0.974147,0,0,0.08,126,0.000457412,2017,11,29,15,55,23,363,15,1514532761,1514565662
1514562924,0.978541,0,0,0.09,126,0.000458391,2017,11,29,15,55,24,363,15,1514532761,1514565662
1514562925,0.9698370000000001,0,0,0.09,126,0.00045936,2017,11,29,15,55,25,363,15,1514532761,1514565662
1514562926,0.9731200000000001,0,0,0.08,126,0.000460334,2017,11,29,15,55,26,363,15,1514532761,1514565662
1514562927,0.97509,0,0,0.09,126,0.000461309,2017,11,29,15,55,27,363,15,1514532761,1514565662
1514562928,1.02163,0,0,0.08,126,0.00046233,2017,11,29,15,55,28,363,15,1514532761,1514565662
1514562929,0.998526,0,0,0.08,126,0.000463329,2017,11,29,15,55,29,363,15,1514532761,1514565662
1514562930,1.0413620000000001,0,0,0.09,126,0.00046437,2017,11,29,15,55,30,363,15,1514532761,1514565662
1514562931,1.038714,0,0,0.08,126,0.000465409,2017,11,29,15,55,31,363,15,1514532761,1514565662
1514562932,1.008777,0,0,0.08,126,0.000466418,2017,11,29,15,55,32,363,15,1514532761,1514565662
1514562933,0.979474,0,0,0.09,126,0.00046739700000000004,2017,11,29,15,55,33,363,15,1514532761,1514565662
1514562934,1.0157559999999999,0,0,0.08,126,0.000468413,2017,11,29,15,55,34,363,15,1514532761,1514565662
1514562935,1.0318559999999999,0,0,0.09,126,0.000469445,2017,11,29,15,55,35,363,15,1514532761,1514565662
1514562936,1.004661,0,0,0.09,126,0.00047044899999999995,2017,11,29,15,55,36,363,15,1514532761,1514565662
1514562937,0.98551,0,0,0.09,126,0.00047143500000000003,2017,11,29,15,55,37,363,15,1514532761,1514565662
1514562938,0.9428350000000001,0,0,0.08,126,0.00047237799999999997,2017,11,29,15,55,38,363,15,1514532761,1514565662
1514562939,0.9767629999999999,0,0,0.09,126,0.000473354,2017,11,29,15,55,39,363,15,1514532761,1514565662
1514562940,0.9886149999999999,0,0,0.09,126,0.000474343,2017,11,29,15,55,40,363,15,1514532761,1514565662
1514562941,0.995727,0,0,0.09,126,0.000475339,2017,11,29,15,55,41,363,15,1514532761,1514565662
1514562942,1.022673,0,0,0.09,126,0.000476362,2017,11,29,15,55,42,363,15,1514532761,1514565662
1514562943,1.0019870000000002,0,0,0.09,126,0.00047736400000000003,2017,11,29,15,55,43,363,15,1514532761,1514565662
1514562944,1.0009139999999999,0,0,0.08,126,0.00047836400000000006,2017,11,29,15,55,44,363,15,1514532761,1514565662
1514562945,1.000271,0,0,0.08,126,0.000479365,2017,11,29,15,55,45,363,15,1514532761,1514565662
1514562946,1.016895,0,0,0.08,126,0.00048038199999999996,2017,11,29,15,55,46,363,15,1514532761,1514565662
1514562947,1.012694,0,0,0.07,126,0.00048139399999999995,2017,11,29,15,55,47,363,15,1514532761,1514565662
1514562948,1.007339,0,0,0.08,126,0.00048240200000000005,2017,11,29,15,55,48,363,15,1514532761,1514565662
1514562949,0.984282,0,0,0.08,126,0.000483386,2017,11,29,15,55,49,363,15,1514532761,1514565662
1514562950,0.9987959999999999,0,0,0.08,126,0.00048438500000000005,2017,11,29,15,55,50,363,15,1514532761,1514565662
1514562951,0.987661,0,0,0.08,126,0.00048537200000000003,2017,11,29,15,55,51,363,15,1514532761,1514565662
1514562952,1.023503,0,0,0.07,126,0.000486396,2017,11,29,15,55,52,363,15,1514532761,1514565662
1514562953,1.016659,0,0,0.07,126,0.000487413,2017,11,29,15,55,53,363,15,1514532761,1514565662
1514562954,1.0182229999999999,0,0,0.08,126,0.000488431,2017,11,29,15,55,54,363,15,1514532761,1514565662
1514562955,0.996482,0,0,0.08,125,0.0004894270000000001,2017,11,29,15,55,55,363,15,1514532761,1514565662
1514562956,0.994777,0,0,0.08,126,0.000490422,2017,11,29,15,55,56,363,15,1514532761,1514565662
1514562957,0.9937540000000001,0,0,0.07,126,0.0004914159999999999,2017,11,29,15,55,57,363,15,1514532761,1514565662
1514562958,1.029994,0,0,0.08,126,0.000492446,2017,11,29,15,55,58,363,15,1514532761,1514565662
1514562959,1.043233,0,0,0.09,126,0.0004934890000000001,2017,11,29,15,55,59,363,15,1514532761,1514565662
1514562960,1.025662,0,0,0.08,126,0.000494515,2017,11,29,15,56,00,363,15,1514532761,1514565662
1514562961,1.00378,0,0,0.08,125,0.000495518,2017,11,29,15,56,01,363,15,1514532761,1514565662
1514562962,1.016165,0,0,0.08,126,0.000496535,2017,11,29,15,56,02,363,15,1514532761,1514565662
1514562963,1.012257,0,0,0.08,126,0.000497547,2017,11,29,15,56,03,363,15,1514532761,1514565662
1514562964,1.024086,0,0,0.07,126,0.000498571,2017,11,29,15,56,04,363,15,1514532761,1514565662
1514562965,1.031184,0,0,0.09,126,0.000499602,2017,11,29,15,56,05,363,15,1514532761,1514565662
1514562966,1.0467819999999999,0,0,0.08,126,0.0005006489999999999,2017,11,29,15,56,06,363,15,1514532761,1514565662
1514562967,1.019287,0,0,0.07,126,0.000501668,2017,11,29,15,56,07,363,15,1514532761,1514565662
1514562968,1.025469,0,0,0.08,126,0.0005026939999999999,2017,11,29,15,56,08,363,15,1514532761,1514565662
1514562969,1.034848,0,0,0.08,126,0.000503729,2017,11,29,15,56,09,363,15,1514532761,1514565662
1514562970,1.0263010000000001,0,0,0.08,126,0.0005047550000000001,2017,11,29,15,56,10,363,15,1514532761,1514565662
1514562971,1.0211729999999999,0,0,0.08,126,0.000505776,2017,11,29,15,56,11,363,15,1514532761,1514565662
